state,date,crop_type,planted_area,production,temperature,humidity
Negeri Sembilan,1/1/19,cash_crops,437.9,4919.1,"	28 ","	80%"
Negeri Sembilan,1/1/20,cash_crops,289.8,3621.6,"	28 ",81%
Negeri Sembilan,1/1/21,cash_crops,432.1,5200.8,27 ,77%
Negeri Sembilan,1/1/22,cash_crops,446.4,5315.4,"	28 ",78%
Negeri Sembilan,1/1/17,coconut,1476.2,11932.1,27 ,81%
Negeri Sembilan,1/1/18,coconut,1362.5,11689,"26 	",83%
Negeri Sembilan,1/1/19,coconut,1290.3,12768.3,"	28 ","	80%"
Negeri Sembilan,1/1/20,coconut,1346.7,12841.4,"	28 ",81%
Negeri Sembilan,1/1/21,coconut,1500.5,13856.9,27 ,77%
Negeri Sembilan,1/1/22,coconut,1491.2,14521.2,"	28 ",78%
Negeri Sembilan,1/1/17,vegetables,22,3472390,27 ,81%
Negeri Sembilan,1/1/18,vegetables,22.4,3534893,"26 	",83%
Negeri Sembilan,1/1/19,vegetables,22.8,3602056,"	28 ","	80%"
Negeri Sembilan,1/1/20,vegetables,22.1,2744766,"	28 ",81%
Negeri Sembilan,1/1/21,vegetables,23.2,2752960,27 ,77%
Negeri Sembilan,1/1/22,vegetables,23.5,2797007,"	28 ",78%
Negeri Sembilan,1/1/17,fruits,5789.9,45220.9,27 ,81%
Negeri Sembilan,1/1/18,fruits,5687.5,57281.3,"26 	",83%
Negeri Sembilan,1/1/19,fruits,5552.7,64512,"	28 ","	80%"
Negeri Sembilan,1/1/20,fruits,5384.8,66524.5,"	28 ",81%
Negeri Sembilan,1/1/21,fruits,5572,68549.3,27 ,77%
Negeri Sembilan,1/1/22,fruits,6107.7,68198.9,"	28 ",78%
Negeri Sembilan,1/1/17,herbs,41.1,88,27 ,81%
Negeri Sembilan,1/1/18,herbs,7.3,49.7,"26 	",83%
Negeri Sembilan,1/1/19,herbs,4.5,8.6,"	28 ","	80%"
Negeri Sembilan,1/1/20,herbs,3,21.2,"	28 ",81%
Negeri Sembilan,1/1/21,herbs,15.6,53.7,27 ,77%
Negeri Sembilan,1/1/22,herbs,18.2,104.7,"	28 ",78%
Negeri Sembilan,1/1/17,industrial_crops,1547,12608.9,27 ,81%
Negeri Sembilan,1/1/18,industrial_crops,1406.1,12330.7,"26 	",83%
Negeri Sembilan,1/1/19,industrial_crops,1326.8,13340.2,"	28 ","	80%"
Negeri Sembilan,1/1/20,industrial_crops,1394.4,13509.4,"	28 ",81%
Negeri Sembilan,1/1/21,industrial_crops,1563,14678.7,27 ,77%
Negeri Sembilan,1/1/22,industrial_crops,1554.7,15170.3,"	28 ",78%
Negeri Sembilan,1/1/17,paddy,2040,10261,27 ,81%
Negeri Sembilan,1/1/18,paddy,1896,7504,"26 	",83%
Negeri Sembilan,1/1/19,paddy,1936,7670,"	28 ","	80%"
Negeri Sembilan,1/1/20,paddy,1989,8942,"	28 ",81%
Negeri Sembilan,1/1/21,paddy,1480,4662,27 ,77%
Negeri Sembilan,1/1/22,paddy,1313,4941,"	28 ",78%
Negeri Sembilan,1/1/17,spices,379.4,2597.1,27 ,81%
Negeri Sembilan,1/1/18,spices,223.8,2692.6,"26 	",83%
Negeri Sembilan,1/1/19,spices,252.2,3653.2,"	28 ","	80%"
Negeri Sembilan,1/1/20,spices,412.7,5420,"	28 ",81%
Negeri Sembilan,1/1/21,spices,528.3,7078.2,27 ,77%
Negeri Sembilan,1/1/22,spices,341.9,4674,"	28 ",78%
Negeri Sembilan,1/1/17,flowers,1556,22026.3,27 ,81%
Negeri Sembilan,1/1/18,flowers,1519.5,21190.2,"26 	",83%
Negeri Sembilan,1/1/19,flowers,1751.3,24419.1,"	28 ","	80%"
Negeri Sembilan,1/1/20,flowers,1757.5,23393.2,"	28 ",81%
Negeri Sembilan,1/1/21,flowers,1719.7,21367.5,27 ,77%
